job_completion_time	system:partition	display_name	hashcode	commit	environ	modules	jobid	num_nodes	num_tasks	num_tasks_per_node	num_gpus_per_node	Copy_var=Copy_value Copy_unit	Scale_var=Scale_value Scale_unit	Add_var=Add_value Add_unit	Triad_var=Triad_value Triad_unit	unique_name.
2024-12-03T10:43:38+01:00	generic:default	StreamAltTest	ebaf7967	null	builtin		1097	null	1	null	null	Copy=26028.8 MB/s	Scale=16073.5 MB/s	Add=18419.2 MB/s	Triad=18360.4 MB/s	[report](../../reports/None.json)	
2024-12-03T10:43:59+01:00	generic:default	StreamAltTest	ebaf7967	null	builtin		1121	null	1	null	null	Copy=26609.5 MB/s	Scale=15167.5 MB/s	Add=17314.7 MB/s	Triad=17695.9 MB/s	[report](../../reports/StreamAltTest.json)	
