job_completion_time	system:partition	short_name	hashcode	environ	modules	jobid	num_nodes	num_tasks	num_tasks_per_node	num_gpus_per_node	perf_var=perf_value perf_unit	
2024-12-12T18:06:01+02:00	lumi:gpu	lumi_gromacs_large_a4deaaed	a4deaaed	cpeAMD	GROMACS/2024.3-cpeAMD-24.03-rocm,rocm/6.0.3	8732384	4	32	8	8	perf=17.194 ns/day	
2024-12-12T18:06:03+02:00	lumi:gpu	lumi_gromacs_large_3d975e42	3d975e42	cpeAMD	GROMACS/2024.3-cpeAMD-24.03-rocm,rocm/6.0.3	8732389	2	16	8	8	perf=7.822 ns/day	
